,id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,review_scores_rating,number_of_reviews
109,1309117,2260880,1,Speer,39.712447420824496,-104.97529041009017,Entire home/apt,3,1.0,2,2.0,49.0,60.0,100.0,3
110,1309159,1001851,0,Capitol Hill,39.73428772988497,-104.98351565388504,Entire home/apt,2,1.0,0,1.0,199.0,0.0,97.0,48
111,1311993,6658113,0,CBD,39.74681282014442,-104.99706494228641,Entire home/apt,2,1.0,0,1.0,69.0,0.0,100.0,8
112,1313699,7138728,0,University,39.683633268599465,-104.9722736737895,Entire home/apt,10,2.5,5,7.0,275.0,150.0,92.0,18
113,1315790,6658113,0,CBD,39.745753341327905,-104.99793341604015,Entire home/apt,4,2.0,2,2.0,107.0,0.0,94.0,7
119,1337012,1001851,0,Capitol Hill,39.735949749255774,-104.98369722240248,Entire home/apt,4,1.5,2,2.0,399.0,0.0,96.0,21
123,1339557,6658113,0,CBD,39.74669198929834,-104.99563763786476,Entire home/apt,2,1.0,1,1.0,79.0,0.0,95.0,4
124,1356392,7304490,1,Five Points,39.75558054350074,-104.988925626024,Entire home/apt,6,2.0,2,0.0,449.0,100.0,97.0,49
126,1377607,2826920,0,Lowry Field,39.71177495770814,-104.89300122060614,Entire home/apt,6,2.0,2,1.0,80.0,60.0,50.0,4
127,1378339,1810376,1,Clayton,39.765066925084255,-104.95536973112304,Private room,2,1.0,1,1.0,60.0,5.0,97.0,384
129,1402409,1382900,1,West Colfax,39.73845097788821,-105.03882527007431,Entire home/apt,10,2.0,4,4.0,225.0,100.0,99.0,73
130,1422518,7656757,0,Lowry Field,39.72108587247132,-104.8927881660013,Entire home/apt,4,2.5,2,3.0,110.0,50.0,93.0,26
131,1436464,626433,0,Lowry Field,39.71285303988515,-104.89320226389015,Private room,2,1.0,1,1.0,76.0,5.0,100.0,2
133,1454673,4150751,1,Congress Park,39.73438750954021,-104.95807171115332,Private room,5,1.0,2,2.0,102.0,35.0,99.0,70
134,1471740,1516103,0,Montclair,39.73142974868156,-104.92164870048187,Entire home/apt,12,5.0,6,9.0,380.0,145.0,93.0,4
139,1560847,6735482,0,Berkeley,39.779434449755655,-105.05065635888587,Entire home/apt,10,3.0,5,5.0,99.0,125.0,100.0,14
140,1566967,4366942,0,Sloan Lake,39.75404188999249,-105.05223980189838,Entire home/apt,4,1.0,2,2.0,90.0,80.0,85.0,62
142,1593924,8354816,0,Capitol Hill,39.735744326335,-104.9780442394746,Entire home/apt,6,2.5,3,3.0,128.0,180.0,94.0,24
144,1605771,8554690,0,City Park,39.74161388312167,-104.95911818877256,Entire home/apt,2,1.0,1,1.0,87.0,40.0,91.0,100
147,1629445,8660236,1,Cheesman Park,39.735587642205246,-104.96109379775784,Entire home/apt,2,1.0,0,1.0,94.0,0.0,95.0,13
