id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18042124,Contemporary Victorian in the Heart of LoHi,76129561,Kate,,Highland,39.76676925352687,-105.0115700499249,Entire home/apt,249,2,23,2018-08-01,1.51,1,0
18042712,"Chic, Modern In-Law Suite sleeps 4!",47645271,Lia,,Whittier,39.75530460651933,-104.96045283709844,Entire home/apt,119,1,39,2018-01-29,2.38,1,0
18043307,Beautiful Family Friendly House,55341034,Mekonnen,,Gateway - Green Valley Ranch,39.7753820666269,-104.75343686340976,Entire home/apt,120,30,3,2017-09-05,0.21,3,83
18049607,"Mediterranean Mansion- pool, hot tub, Ms Pac Man!",57772781,Allison,,Hale,39.738263872474846,-104.93844410991849,Entire home/apt,999,2,8,2018-08-19,0.82,1,313
18052024,Modern Oasis in downtown- near everything!,124234136,Brian,,Five Points,39.750987442131,-104.97758350928854,Entire home/apt,990,3,9,2018-08-19,0.59,1,328
18061357,Heart of Downtown Denver,78012154,Hatem,,Union Station,39.7506761846837,-105.00123321977718,Private room,60,2,63,2018-08-24,4.93,1,83
18075883,York St Basement Suite,104684463,Abi,,Skyland,39.75547446052184,-104.95906805255197,Private room,45,2,17,2018-03-28,1.04,3,2
18077528,Private entrance basement unit w/ backyard & deck,124472914,John,,Washington Park,39.704567752663145,-104.9647058304117,Entire home/apt,69,1,10,2017-05-26,0.59,1,0
18093919,New Modern Town Home - Park and City Views!,251594,Joanne,,Jefferson Park,39.749344049931494,-105.02290859359742,Entire home/apt,195,3,9,2017-10-16,0.56,1,0
18105941,Blue Room,68217974,Tobi,,Regis,39.788088320136005,-105.04309799866665,Private room,52,1,24,2018-08-09,1.60,3,71
18107414,Charming Brick Tudor Home in Central Denver,47146086,Maggie,,Athmar Park,39.704356997966556,-105.02057670206992,Entire home/apt,119,2,14,2018-07-07,1.00,2,26
18109531,Beautiful Modern Two Bedroom Condo in Wash Park!,26434540,Eleanor,,Speer,39.712228847546996,-104.98113045971287,Entire home/apt,100,1,0,,,1,0
18112151,1902 Vintage 2bd+ Charmer by Cheesman Park,19196234,Vik,,Cheesman Park,39.73775674061462,-104.97115539615982,Entire home/apt,169,3,34,2018-08-20,2.07,1,63
18122245,"Newly Remodeled, Private, Centrally-Located 1 Bed",1363155,Melissa & Jesse,,City Park,39.742571465449124,-104.94133641835441,Entire home/apt,140,1,99,2018-08-19,6.37,4,142
18123887,Riverfront Loft-Denver’s Best Downtown NBHD,34955862,Scott,,Union Station,39.75537669261719,-105.00323722583836,Entire home/apt,410,3,24,2018-08-13,1.46,17,307
18124933,Modern Cowboy 2 Bedroom Lux Capitol Hill Apartment,24326234,Christina,,Capitol Hill,39.736784144863904,-104.98115537035515,Entire home/apt,145,1,137,2018-08-19,8.19,5,274
18133714,Centrally Located Museum House,26019911,Shannon,,Country Club,39.7270674715326,-104.97160202764513,Entire home/apt,260,2,10,2018-07-27,0.63,1,317
18136259,Updated 3 bedroom in an amazing neighborhood,26273619,Teddy,,Overland,39.66855564014398,-104.98945107245382,Entire home/apt,225,1,58,2018-08-10,3.52,1,293
18137155,Aunt El's Haven,125026092,Eloise,,Clayton,39.76581548094844,-104.95033322871723,Entire home/apt,82,2,52,2018-08-24,3.17,1,120
18137960,Single bedroom in a charming 1930s bungalow,3811649,Tyson,,Hale,39.739658989873085,-104.9226707780894,Private room,55,1,23,2018-04-08,1.44,2,0
18138325,Master bedroom and private bathroom,3359927,Emily,,North Capitol Hill,39.74346920868292,-104.98005596705052,Private room,80,1,7,2018-01-27,0.48,2,0
